,総合物価上昇率(年率),完全失業率（％）男女計,date,year
2016-01-01,0.9989775051124745,3.2,2016-01-01,2016
2016-02-01,1.0020491803278688,3.2,2016-02-01,2016
2016-03-01,1.0,3.3,2016-03-01,2016
2016-04-01,0.996951219512195,3.4,2016-04-01,2016
2016-05-01,0.9949341438703141,3.2,2016-05-01,2016
2016-06-01,0.996951219512195,3.1,2016-06-01,2016
2016-07-01,0.9959308240081385,3.0,2016-07-01,2016
2016-08-01,0.9949186991869918,3.2,2016-08-01,2016
2016-09-01,0.9949238578680203,3.0,2016-09-01,2016
2016-10-01,1.0010152284263958,2.9,2016-10-01,2016
2016-11-01,1.0050968399592253,3.0,2016-11-01,2016
2016-12-01,1.0030581039755353,2.9,2016-12-01,2016
2017-01-01,1.0051177072671442,3.0,2017-01-01,2017
2017-02-01,1.0030674846625767,2.8,2017-02-01,2017
2017-03-01,1.0020429009193053,2.8,2017-03-01,2017
2017-04-01,1.0040774719673802,2.9,2017-04-01,2017
2017-05-01,1.0040733197556007,3.1,2017-05-01,2017
2017-06-01,1.0040774719673802,2.8,2017-06-01,2017
2017-07-01,1.0040858018386107,2.8,2017-07-01,2017
2017-08-01,1.0061287027579162,2.8,2017-08-01,2017
2017-09-01,1.0081632653061223,2.8,2017-09-01,2017
2017-10-01,1.002028397565923,2.7,2017-10-01,2017
2017-11-01,1.0050709939148073,2.6,2017-11-01,2017
2017-12-01,1.0101626016260163,2.6,2017-12-01,2017
2018-01-01,1.0132382892057026,2.4,2018-01-01,2018
2018-02-01,1.014271151885831,2.5,2018-02-01,2018
2018-03-01,1.0112130479102956,2.5,2018-03-01,2018
2018-04-01,1.0060913705583756,2.6,2018-04-01,2018
2018-05-01,1.0070993914807302,2.3,2018-05-01,2018
2018-06-01,1.0071065989847716,2.5,2018-06-01,2018
2018-07-01,1.0091556459816888,2.5,2018-07-01,2018
2018-08-01,1.0131979695431472,2.5,2018-08-01,2018
2018-09-01,1.0111336032388665,2.4,2018-09-01,2018
2018-10-01,1.01417004048583,2.4,2018-10-01,2018
2018-11-01,1.0090817356205852,2.4,2018-11-01,2018
2018-12-01,1.0030181086519114,2.3,2018-12-01,2018
2019-01-01,1.0020100502512563,2.4,2019-01-01,2019
2019-02-01,1.0020100502512563,2.3,2019-02-01,2019
2019-03-01,1.0050403225806452,2.5,2019-03-01,2019
2019-04-01,1.0090817356205852,2.6,2019-04-01,2019
2019-05-01,1.0070493454179255,2.4,2019-05-01,2019
2019-06-01,1.0060483870967742,2.3,2019-06-01,2019
2019-07-01,1.0060483870967742,2.3,2019-07-01,2019
2019-08-01,1.0020040080160322,2.3,2019-08-01,2019
2019-09-01,1.002002002002002,2.4,2019-09-01,2019
2019-10-01,1.001996007984032,2.4,2019-10-01,2019
2019-11-01,1.005,2.2,2019-11-01,2019
2019-12-01,1.00802407221665,2.1,2019-12-01,2019
2020-01-01,1.00802407221665,2.3,2020-01-01,2020
2020-02-01,1.0060180541624875,2.3,2020-02-01,2020
2020-03-01,1.0060180541624875,2.6,2020-03-01,2020
2020-04-01,1.002,2.8,2020-04-01,2020
2020-05-01,1.001,2.9,2020-05-01,2020
2020-06-01,1.001002004008016,2.8,2020-06-01,2020
2020-07-01,1.0020040080160322,2.9,2020-07-01,2020
2020-08-01,1.001,3.0,2020-08-01,2020
2020-09-01,0.9980019980019981,3.0,2020-09-01,2020
2020-10-01,0.99402390438247,3.1,2020-10-01,2020
2020-11-01,0.9900497512437811,2.8,2020-11-01,2020
2020-12-01,0.9880597014925373,2.8,2020-12-01,2020
2021-01-01,0.9930348258706467,2.9,2021-01-01,2021
2021-02-01,0.9950149551345963,2.8,2021-02-01,2021
2021-03-01,0.996011964107677,2.7,2021-03-01,2021
2021-04-01,0.9890219560878243,3.0,2021-04-01,2021
2021-05-01,0.9930069930069931,3.1,2021-05-01,2021
2021-06-01,0.995995995995996,3.0,2021-06-01,2021
2021-07-01,0.997,2.8,2021-07-01,2021
2021-08-01,0.9960039960039961,2.8,2021-08-01,2021
2021-09-01,1.002002002002002,2.8,2021-09-01,2021
2021-10-01,1.001002004008016,2.7,2021-10-01,2021
2021-11-01,1.0060301507537688,2.7,2021-11-01,2021
2021-12-01,1.0080563947633434,2.5,2021-12-01,2021
2022-01-01,1.0050100200400802,2.7,2022-01-01,2022
2022-02-01,1.0090180360721444,2.6,2022-02-01,2022
2022-03-01,1.012012012012012,2.6,2022-03-01,2022
2022-04-01,1.024217961654894,2.7,2022-04-01,2022
2022-05-01,1.0241448692152917,2.8,2022-05-01,2022
2022-06-01,1.0231155778894472,2.7,2022-06-01,2022
2022-07-01,1.0260782347041122,2.5,2022-07-01,2022
2022-08-01,1.0300902708124373,2.6,2022-08-01,2022
2022-09-01,1.02997002997003,2.7,2022-09-01,2022
2022-10-01,1.038038038038038,2.6,2022-10-01,2022
2022-11-01,1.037962037962038,2.4,2022-11-01,2022
2022-12-01,1.03996003996004,2.3,2022-12-01,2022
2023-01-01,1.0438683948155534,2.4,2023-01-01,2023
2023-02-01,1.0327706057596822,2.5,2023-02-01,2023
2023-03-01,1.0326409495548963,2.8,2023-03-01,2023
2023-04-01,1.0354679802955664,2.7,2023-04-01,2023
